Country,Category,Child Mortality(per 100)(2023),GNI adjusted with PPP,Education (Secondary) (2015-2023),Life Expectancy(2021-2023),Years of Schooling(2000-2023)
United States,High Income,0.64,71767.06,99.23,77.8889,16.26
Germany,High Income,0.36,64644.76,100.94,81.0211,16.85
Japan,High Income,0.23,46472.27,102.21,84.4388,15.29
Canada,High Income,0.5,56471.27,110.44,81.9518,15.65
Australia,High Income,0.36,57556.84,101.13,83.4177,21.76
China,Upper Middle Income,0.61,20701.13,92.26,78.0905,13.1
Brazil,Upper Middle Income,1.44,17511.76,104.03,74.5859,15.16
Mexico,Upper Middle Income,1.24,20245.56,102.46,72.9307,13.63
South Africa,Upper Middle Income,3.46,13420.58,104.22,64.5341,13.11
Turkey,Upper Middle Income,1.28,31697.01,111.93,76.8231,15.45
India,Lower Middle Income,2.77,7955.25,77.25,70.3278,11.16
Vietnam,Lower Middle Income,2,11432.47,92.19,74.4119,13.08
Zimbabwe,Lower Middle Income,4.42,4751.75,52.41,61.7565,10.77
Egypt,Lower Middle Income,1.75,15124.15,79.01,70.5397,11.66
Bangladesh,Lower Middle Income,3.05,7832.73,64.73,73.3468,9.93
Ethiopia,Low Income,4.64,2575.07,33.91,66.514,7.6
Afghanistan,Low Income,5.55,2157.11,54.8699,64.023,9.14
Niger,Low Income,11.47,1614.65,21.921,60.3745,5.27
Chad,Low Income,10.11,2409.95,21.8435,54.2443,6.95
Somalia,Low Income,10.4,1386.59,4.3607,56.15,7.49
