Country,Year,Men,Women
Afghanistan,2000,53.46,56.56
Afghanistan,2001,53.94,57.09
Afghanistan,2002,54.99,57.44
Afghanistan,2003,55.85,58.47
Afghanistan,2004,56.52,59.07
Afghanistan,2005,56.88,59.59
Afghanistan,2006,56.97,60.12
Afghanistan,2007,57.12,60.8
Afghanistan,2008,57.98,61.43
Afghanistan,2009,58.68,61.79
Afghanistan,2010,59.1,62.28
Afghanistan,2011,59.62,62.85
Afghanistan,2012,60.1,63.34
Afghanistan,2013,60.53,63.81
Afghanistan,2014,60.5,64.01
Afghanistan,2015,60.36,64.18
Afghanistan,2016,60.66,64.64
Afghanistan,2017,59.39,65.61
Afghanistan,2018,59.18,65.94
Afghanistan,2019,59.91,66.14
Afghanistan,2020,58.46,64.66
Afghanistan,2021,57.05,64.08
Afghanistan,2022,63.94,67.24
Afghanistan,2023,64.47,67.54
Australia,2000,76.95,82.27
Australia,2001,77.38,82.6
Australia,2002,77.54,82.53
Australia,2003,77.94,82.91
Australia,2004,78.26,83.17
Australia,2005,78.67,83.47
Australia,2006,78.9,83.57
Australia,2007,78.91,83.53
Australia,2008,79.14,83.7
Australia,2009,79.44,83.99
Australia,2010,79.81,84.2
Australia,2011,79.92,84.25
Australia,2012,80.27,84.3
Australia,2013,80.46,84.62
Australia,2014,80.52,84.5
Australia,2015,80.58,84.63
Australia,2016,80.75,84.85
Australia,2017,80.68,84.75
Australia,2018,81.22,85.29
Australia,2019,81.2,85.28
Australia,2020,81.63,85.69
Australia,2021,81.65,85.47
Australia,2022,80.73,84.86
Australia,2023,82.1,85.74
Bangladesh,2000,61.38,62.81
Bangladesh,2001,62.08,63.7
Bangladesh,2002,62.75,64.55
Bangladesh,2003,63.38,65.32
Bangladesh,2004,63.94,66.01
Bangladesh,2005,64.48,66.67
Bangladesh,2006,64.95,67.27
Bangladesh,2007,65.31,67.74
Bangladesh,2008,65.79,68.45
Bangladesh,2009,66.16,69.06
Bangladesh,2010,66.52,69.69
Bangladesh,2011,66.89,70.32
Bangladesh,2012,67.28,70.94
Bangladesh,2013,67.68,71.54
Bangladesh,2014,68.17,72.1
Bangladesh,2015,68.68,72.6
