Country Name,GNI 1,GNI 2,GNI 3
Afghanistan,921.67,1422.0,1741.67
Australia,28853.33,36338.0,42075.42
Bangladesh,1786.67,2684.0,4105.42
Brazil,9596.67,12816.0,13705.0
Canada,31415.0,38758.0,42533.33
China,3878.33,7690.0,11311.67
Germany,29915.0,38100.0,46008.75
"Egypt, Arab Rep.",5933.33,8042.0,9856.67
Ethiopia,525.0,840.0,1375.0
India,2421.67,3664.0,4878.75
Japan,29880.0,35502.0,38513.33
Mexico,12026.67,15054.0,16798.75
Niger,870.0,1048.0,1177.92
"Somalia, Fed. Rep.",528.33,730.0,1005.42
Chad,1338.33,1984.0,1984.58
Turkiye,9760.0,15380.0,20867.5
United States,39666.67,48174.0,54030.83
Viet Nam,3141.67,4698.0,6729.58
South Africa,8911.67,11864.0,11887.92
Zimbabwe,2618.33,2040.0,3586.67
