Country,Code,Year,Life expectancy
Afghanistan,AFG,2000,55.0
Afghanistan,AFG,2001,55.51
Afghanistan,AFG,2002,56.23
Afghanistan,AFG,2003,57.17
Afghanistan,AFG,2004,57.81
Afghanistan,AFG,2005,58.25
Afghanistan,AFG,2006,58.55
Afghanistan,AFG,2007,58.96
Afghanistan,AFG,2008,59.71
Afghanistan,AFG,2009,60.25
Afghanistan,AFG,2010,60.7
Afghanistan,AFG,2011,61.25
Afghanistan,AFG,2012,61.73
Afghanistan,AFG,2013,62.19
Afghanistan,AFG,2014,62.26
Afghanistan,AFG,2015,62.27
Afghanistan,AFG,2016,62.65
Afghanistan,AFG,2017,62.41
Afghanistan,AFG,2018,62.44
Afghanistan,AFG,2019,62.94
Afghanistan,AFG,2020,61.45
Afghanistan,AFG,2021,60.42
Afghanistan,AFG,2022,65.62
Afghanistan,AFG,2023,66.03
Australia,AUS,2000,79.62
Australia,AUS,2001,80.01
Australia,AUS,2002,80.05
Australia,AUS,2003,80.44
Australia,AUS,2004,80.73
Australia,AUS,2005,81.09
Australia,AUS,2006,81.26
Australia,AUS,2007,81.23
Australia,AUS,2008,81.43
Australia,AUS,2009,81.73
Australia,AUS,2010,82.01
Australia,AUS,2011,82.09
Australia,AUS,2012,82.3
Australia,AUS,2013,82.55
Australia,AUS,2014,82.52
Australia,AUS,2015,82.6
Australia,AUS,2016,82.8
Australia,AUS,2017,82.72
Australia,AUS,2018,83.26
Australia,AUS,2019,83.24
Australia,AUS,2020,83.66
Australia,AUS,2021,83.56
Australia,AUS,2022,82.77
Australia,AUS,2023,83.92
Bangladesh,BGD,2000,62.05
Bangladesh,BGD,2001,62.84
Bangladesh,BGD,2002,63.59
Bangladesh,BGD,2003,64.29
Bangladesh,BGD,2004,64.91
Bangladesh,BGD,2005,65.51
Bangladesh,BGD,2006,66.05
Bangladesh,BGD,2007,66.46
Bangladesh,BGD,2008,67.05
Bangladesh,BGD,2009,67.53
Bangladesh,BGD,2010,68.01
Bangladesh,BGD,2011,68.5
Bangladesh,BGD,2012,68.99
Bangladesh,BGD,2013,69.49
Bangladesh,BGD,2014,70.02
Bangladesh,BGD,2015,70.54
Bangladesh,BGD,2016,71.08
Bangladesh,BGD,2017,71.61
Bangladesh,BGD,2018,72.12
Bangladesh,BGD,2019,72.63
Bangladesh,BGD,2020,71.42
Bangladesh,BGD,2021,71.1
Bangladesh,BGD,2022,74.26
Bangladesh,BGD,2023,74.67
Brazil,BRA,2000,69.58
Brazil,BRA,2001,69.98
Brazil,BRA,2002,70.4
Brazil,BRA,2003,70.88
Brazil,BRA,2004,71.36
Brazil,BRA,2005,71.83
Brazil,BRA,2006,72.3
Brazil,BRA,2007,72.73
Brazil,BRA,2008,73.11
Brazil,BRA,2009,73.46
Brazil,BRA,2010,73.78
Brazil,BRA,2011,74.05
Brazil,BRA,2012,74.33
Brazil,BRA,2013,74.61
Brazil,BRA,2014,74.82
Brazil,BRA,2015,75.11
Brazil,BRA,2016,75.08
Brazil,BRA,2017,75.38
Brazil,BRA,2018,75.63
Brazil,BRA,2019,75.81
Brazil,BRA,2020,74.51
Brazil,BRA,2021,73.04
Brazil,BRA,2022,74.87
Brazil,BRA,2023,75.85
Canada,CAN,2000,79.23
Canada,CAN,2001,79.45
Canada,CAN,2002,79.57
Canada,CAN,2003,79.74
